win_team,lose_team,probability
Golden State Warriors,Milwaukee Bucks,0.7866669095355936
Houston Rockets,Oklahoma City Thunder,0.7159306708389779
Boston Celtics,Phoenix Suns,0.8788960432491749
Portland Trail Blazers,Los Angeles Clippers,0.7397738570821814
Detroit Pistons,Atlanta Hawks,0.5805987704711237
Denver Nuggets,Brooklyn Nets,0.7568704826196082
Indiana Pacers,Miami Heat,0.5652249223616301
Washington Wizards,Orlando Magic,0.5927806244636109
Philadelphia 76ers,Charlotte Hornets,0.7514314869905446
Minnesota Timberwolves,Sacramento Kings,0.6876973583680469
Boston Celtics,Utah Jazz,0.7301065572495606
Cleveland Cavaliers,Chicago Bulls,0.8206862199692111
Oklahoma City Thunder,Dallas Mavericks,0.7950027370818374
Golden State Warriors,Brooklyn Nets,0.8634783242760408
Los Angeles Clippers,Milwaukee Bucks,0.5562298201885605
Philadelphia 76ers,Memphis Grizzlies,0.8518592968772591
Miami Heat,Washington Wizards,0.5258497728997428
New Orleans Pelicans,Phoenix Suns,0.7628998032697596
Los Angeles Lakers,Sacramento Kings,0.5397007932529647
Houston Rockets,San Antonio Spurs,0.5962508740114798
Toronto Raptors,New York Knicks,0.8624637545444656
Denver Nuggets,Milwaukee Bucks,0.6447549807658157
Detroit Pistons,Charlotte Hornets,0.6895554915652435
Houston Rockets,Indiana Pacers,0.7782236003938647
Los Angeles Lakers,Atlanta Hawks,0.6654354010548693
Orlando Magic,New York Knicks,0.5237561913463067
Boston Celtics,Portland Trail Blazers,0.6998441558878048
Dallas Mavericks,Chicago Bulls,0.642936314453209
Golden State Warriors,Los Angeles Clippers,0.6635761516778834
Utah Jazz,Memphis Grizzlies,0.8971840627674812
Philadelphia 76ers,Miami Heat,0.6369544466374357
Minnesota Timberwolves,Brooklyn Nets,0.802284406145923
Oklahoma City Thunder,Phoenix Suns,0.7604500697474221
San Antonio Spurs,Sacramento Kings,0.6728093976823304
Toronto Raptors,New Orleans Pelicans,0.7167135162572665
Washington Wizards,Orlando Magic,0.7474459896231564
Cleveland Cavaliers,Charlotte Hornets,0.8002097182638765
Houston Rockets,Denver Nuggets,0.6495575889369738
Golden State Warriors,Atlanta Hawks,0.9154040555146384
Boston Celtics,Chicago Bulls,0.9008733835236893
Miami Heat,Brooklyn Nets,0.7528751885462163
Utah Jazz,Dallas Mavericks,0.8586877045635622
Portland Trail Blazers,Los Angeles Lakers,0.6808037563716547
Milwaukee Bucks,Memphis Grizzlies,0.7506501998406753
Minnesota Timberwolves,New Orleans Pelicans,0.6391920517571211
Oklahoma City Thunder,New York Knicks,0.7124353906924895
Philadelphia 76ers,Orlando Magic,0.7390686618402703
San Antonio Spurs,Phoenix Suns,0.7089886455050022
Toronto Raptors,Detroit Pistons,0.8380998950976365
Cleveland Cavaliers,Washington Wizards,0.5358239060924034
Denver Nuggets,Atlanta Hawks,0.8419210542499459
Houston Rockets,Golden State Warriors,0.6319261165143475
Los Angeles Clippers,San Antonio Spurs,0.5344937514658287
Boston Celtics,Toronto Raptors,0.6619426349604335
Indiana Pacers,Miami Heat,0.6282386214443534
Sacramento Kings,Memphis Grizzlies,0.5660250664622437
Milwaukee Bucks,Chicago Bulls,0.7250524566148531
Minnesota Timberwolves,Portland Trail Blazers,0.620706448826592
New Orleans Pelicans,New York Knicks,0.7151922431581552
Utah Jazz,Philadelphia 76ers,0.6440340169120686
Washington Wizards,Brooklyn Nets,0.7113889941598402
Boston Celtics,Utah Jazz,0.5226549067310421
Los Angeles Clippers,Brooklyn Nets,0.5497130874910828
Toronto Raptors,Chicago Bulls,0.7926056758724878
Philadelphia 76ers,Charlotte Hornets,0.5469686712635331
Golden State Warriors,Dallas Mavericks,0.8584471161810059
Houston Rockets,Sacramento Kings,0.9197663428082532
Indiana Pacers,Atlanta Hawks,0.8585820168869938
New Orleans Pelicans,Denver Nuggets,0.6418260202268278
Los Angeles Lakers,Orlando Magic,0.5192321815230135
Oklahoma City Thunder,Phoenix Suns,0.7791708101607373
Miami Heat,Los Angeles Lakers,0.5991673676430859
Minnesota Timberwolves,Memphis Grizzlies,0.900489457321493
Orlando Magic,New York Knicks,0.5168389889280144
Golden State Warriors,San Antonio Spurs,0.5204527321284208
Portland Trail Blazers,Washington Wizards,0.5014865302587619
Los Angeles Clippers,Atlanta Hawks,0.5099496628689238
Boston Celtics,Charlotte Hornets,0.7063214227009192
Cleveland Cavaliers,Detroit Pistons,0.6224955226978655
Utah Jazz,Indiana Pacers,0.5449023563763468
Dallas Mavericks,Memphis Grizzlies,0.6968762458293458
Milwaukee Bucks,Denver Nuggets,0.5103777365592389
New Orleans Pelicans,San Antonio Spurs,0.5534469765435324
Philadelphia 76ers,Phoenix Suns,0.7650497954935701
Oklahoma City Thunder,Sacramento Kings,0.748623195163181
Miami Heat,Brooklyn Nets,0.6147756307243519
Portland Trail Blazers,New York Knicks,0.7660391392414884
Toronto Raptors,Orlando Magic,0.70618226915681
Washington Wizards,Los Angeles Clippers,0.7454960445226302
Toronto Raptors,Atlanta Hawks,0.7460734948444112
Boston Celtics,New York Knicks,0.8342784846639242
Phoenix Suns,Chicago Bulls,0.5370573718890035
Charlotte Hornets,Indiana Pacers,0.5278074438550013
Cleveland Cavaliers,Los Angeles Lakers,0.7445315607598367
Brooklyn Nets,Dallas Mavericks,0.5885004888694529
Golden State Warriors,Oklahoma City Thunder,0.6999177851584403
Houston Rockets,Detroit Pistons,0.8667283902269872
Portland Trail Blazers,Milwaukee Bucks,0.6474944857604558
Minnesota Timberwolves,Denver Nuggets,0.7580665952324596
Philadelphia 76ers,New Orleans Pelicans,0.5062427450479194
San Antonio Spurs,Memphis Grizzlies,0.8970498424948302
Utah Jazz,Sacramento Kings,0.7645156897352477
Boston Celtics,Atlanta Hawks,0.8733770143823214
Minnesota Timberwolves,Brooklyn Nets,0.7441740752365615
Miami Heat,Chicago Bulls,0.7715744804859268
Denver Nuggets,Orlando Magic,0.7889312319013378
Houston Rockets,Detroit Pistons,0.769797082389095
Golden State Warriors,Portland Trail Blazers,0.7183718301815077
Indiana Pacers,San Antonio Spurs,0.6546071920172473
Los Angeles Clippers,Memphis Grizzlies,0.8274199624750523
Utah Jazz,Los Angeles Lakers,0.7851686649145175
Milwaukee Bucks,Phoenix Suns,0.6517776727716564
